,tid,Population2001,Population2006,Population2011,Population2016,PopulationChange2001-2006,PopulationChange2006-2011,PopulationChange2011-2016,TotalPrivateDwellings2006,TotalPrivateDwellings2011,TotalPrivateDwellings2016,OccupiedDwellings2006,OccupiedDwellings2011,OccupiedDwellings2006.1,PopulationDensity2006,PopulationDensity2011,PopulationDensity2016,Land2006,Land2011,Land2016,BornSince2001,BornSince2006,BornSince2011,HomePrices2006,RentPrices2006,HomePrices2011,RentPrices2011,HomePrices2016,RentPrices2016,MedianIncome2006,education2006,p_white2006,p_indig2006,p_black2006,p_asian2006,p_mnrty2006,p_poc2006,p_educ2006,MedianIncome2011,education2011,p_white2011,p_indig2011,p_black2011,p_asian2011,p_mnrty2011,p_poc2011,p_educ2011,MedianIncome2016,education2016,p_white2016,p_indig2016,p_black2016,p_asian2016,p_mnrty2016,p_poc2016,p_educ2016
0,2050001.0,3636,3648,3759,3868,0.3,3.0,-2.6,1496,1570,1994,1437,1496,1936,639.0,658.9,2233.8,5.71,5.71,1.89,215,270,210,148100,475,241261.0,602.0,241737,647,19592,260,0.880821918,0.015068493,0.090410959,0.005479452,0.008219178,0.119178082,0.071232877,25182.0,410.0,0.869897959,0.016581633,0.113520408,0.0,0.0,0.130102041,0.104591837,30071,425,0.807591623,0.048429319,0.095549738,0.036649215,0.011780105,0.192408377,0.111256545
1,2050002.0,5460,5398,5363,6194,-1.1,-0.6,8.3,2547,2628,1362,2273,2351,1119,468.6,465.5,1601.9,11.52,11.52,1.16,240,255,15,226552,534,294316.0,603.0,332449,701,24012,835,0.891346154,0.023076923,0.047115385,0.027884615,0.010576923,0.108653846,0.160576923,27718.0,880.0,0.873062016,0.037790698,0.024224806,0.064922481,0.0,0.126937984,0.170542636,31630,1045,0.856906534,0.039702233,0.046319272,0.046319272,0.010752688,0.143093466,0.172870141
2,2050003.0,2844,2637,3036,2955,-7.3,15.1,-2.1,1371,1298,1167,1145,1150,1087,1116.0,1284.3,3181.4,2.36,2.36,0.81,75,90,100,479064,907,720989.0,1132.0,885647,1197,26366,990,0.82962963,0.003703704,0.033333333,0.107407407,0.025925926,0.17037037,0.366666667,30171.0,1110.0,0.782692308,0.011538462,0.013461538,0.180769231,0.011538462,0.217307692,0.426923077,37808,995,0.728301887,0.009433962,0.020754717,0.222641509,0.018867925,0.271698113,0.375471698
3,2050004.01,3253,3259,3418,1808,0.2,-6.3,2.1,2437,1853,2658,2031,1669,2501,6774.1,3126.8,5681.9,0.48,0.96,0.89,50,125,195,235254,780,,,438599,1002,17524,1170,0.826833073,0.012480499,0.021840874,0.106084243,0.03276131,0.173166927,0.365054602,,,,,,,,,,24192,1170,0.688477952,0.018492176,0.041251778,0.220483642,0.031294452,0.311522048,0.332859175
4,2050004.02,4379,4221,4649,4594,-3.6,10.1,12.4,3038,3272,1838,2511,2765,1707,8766.4,9585.6,1468.9,0.48,0.49,2.56,110,120,225,378830,761,402059.0,905.0,504598,1025,14430,1295,0.817964072,0.011976048,0.02754491,0.122155689,0.020359281,0.182035928,0.310179641,17766.0,1680.0,0.776560789,0.009857612,0.027382256,0.13033954,0.055859803,0.223439211,0.368017525,20133,1580,0.672766416,0.021528525,0.037674919,0.192680301,0.075349839,0.327233584,0.3401507
5,2050005.0,1832,1796,1797,7375,-2.0,0.1,0.1,725,727,3290,668,666,2802,2339.2,2342.6,6035.5,0.77,0.77,0.83,65,85,215,558133,907,723201.0,875.0,980098,1156,33309,745,0.942196532,0.005780347,0.0,0.046242775,0.005780347,0.057803468,0.430635838,55492.0,725.0,0.947075209,0.0,0.0,0.052924791,0.0,0.052924791,0.403899721,59520,640,0.892761394,0.00536193,0.00536193,0.096514745,0.0,0.107238606,0.343163539
6,2050006.0,3153,3217,3122,3855,2.0,-3.0,18.8,1790,1841,1535,1464,1361,1328,3057.4,2976.7,3711.8,1.05,1.05,0.64,70,70,70,447079,812,525779.0,921.0,708703,1054,21605,1155,0.941732283,0.004724409,0.0,0.034645669,0.018897638,0.058267717,0.363779528,24161.0,970.0,0.95854063,0.006633499,0.006633499,0.018242123,0.009950249,0.04145937,0.32172471,30896,965,0.867256637,0.005309735,0.019469027,0.079646018,0.028318584,0.132743363,0.34159292
7,2050007.0,1644,1780,1716,3343,8.3,-3.6,2.9,1259,1241,2575,1072,1029,2425,1519.0,1459.2,2364.1,1.17,1.18,2.04,10,25,260,364430,901,366373.0,983.0,508262,1244,14881,495,0.924050633,0.0,0.006329114,0.037974684,0.03164557,0.075949367,0.313291139,36762.0,425.0,0.955932203,0.0,0.0,0.030508475,0.013559322,0.044067797,0.288135593,36147,480,0.757668712,0.030674847,0.009202454,0.153374233,0.049079755,0.242331288,0.294478528
8,2050008.0,2266,2641,2763,4623,16.5,-1.2,-2.2,2073,1192,1986,1526,1028,1869,5275.7,1196.4,2537.6,0.5,1.63,1.4,40,95,125,315419,1013,,,547939,1334,17942,890,0.822306238,0.018903592,0.02268431,0.09073724,0.04536862,0.177693762,0.336483932,,,,,,,,,,26432,1030,0.682656827,0.025830258,0.02398524,0.186346863,0.081180812,0.317343173,0.380073801
9,2050009.0,1738,1859,1984,4228,7.0,6.7,7.5,1223,1329,1275,1079,1159,1201,2916.1,3134.3,1000.2,0.64,0.63,2.91,25,50,150,261402,851,353150.0,954.0,367576,1104,26009,560,0.879551821,0.008403361,0.053221289,0.053221289,0.005602241,0.120448179,0.31372549,33838.0,690.0,0.896648045,0.033519553,0.041899441,0.027932961,0.0,0.103351955,0.38547486,33680,985,0.629032258,0.039170507,0.046082949,0.230414747,0.055299539,0.370967742,0.453917051
