tid,Population2001
2050001,3636
2050002,5460
2050003,2844
2050004.01,3253
2050004.02,4379
2050005,1832
2050006,3153
2050007,1644
2050008,2266
2050009,1738
2050010,4943
2050011,6012
2050012,2685
2050013,2685
2050014,4008
2050015,4779
2050016,2182
2050017,2062
2050018,3710
2050019,4435
2050020,2787
2050021,3197
2050022,5390
2050023,4256
2050024,5822
2050025.01,5005
2050025.02,5516
2050100,3126
2050101,3649
2050102,4037
2050103,4254
2050104.01,2179
2050104.02,4751
2050108,4019
2050109,3373
2050110,1779
2050111,3352
2050112,2407
