,tid,Population2006,Population2001,PopulationChange,TotalPrivateDwellings,OccupiedDwellings,Density,Land,bornSinceLastCensus,HomeMean,RentMedian,white,indigenous,black,asian,minority,adult,MedianIncome,education,p_white,p_indig,p_black,p_asian,p_mnrty,p_poc,p_educ
0,2050001,3648,3636,0.3,1496,1437,639,5.71,215,148100,475,3215,55,330,20,30,1915,19592,260,0.880821918,0.015068493,0.090410959,0.005479452,0.008219178,0.119178082,0.071232877
1,2050002,5398,5460,-1.1,2547,2273,468.6,11.52,240,226552,534,4635,120,245,145,55,2805,24012,835,0.891346154,0.023076923,0.047115385,0.027884615,0.010576923,0.108653846,0.160576923
2,2050003,2637,2844,-7.3,1371,1145,1116,2.36,75,479064,907,2240,10,90,290,70,1740,26366,990,0.82962963,0.003703704,0.033333333,0.107407407,0.025925926,0.17037037,0.366666667
3,2050004.01,3259,3253,0.2,2437,2031,6774.1,0.48,50,235254,780,2650,40,70,340,105,2425,17524,1170,0.826833073,0.012480499,0.021840874,0.106084243,0.03276131,0.173166927,0.365054602
4,2050004.02,4221,4379,-3.6,3038,2511,8766.4,0.48,110,378830,761,3415,50,115,510,85,2885,14430,1295,0.817964072,0.011976048,0.02754491,0.122155689,0.020359281,0.182035928,0.310179641
5,2050005,1796,1832,-2,725,668,2339.2,0.77,65,558133,907,1630,10,0,80,10,1165,33309,745,0.942196532,0.005780347,0,0.046242775,0.005780347,0.057803468,0.430635838
6,2050006,3217,3153,2,1790,1464,3057.4,1.05,70,447079,812,2990,15,0,110,60,2005,21605,1155,0.941732283,0.004724409,0,0.034645669,0.018897638,0.058267717,0.363779528
7,2050007,1780,1644,8.3,1259,1072,1519,1.17,10,364430,901,1460,0,10,60,50,910,14881,495,0.924050633,0,0.006329114,0.037974684,0.03164557,0.075949367,0.313291139
8,2050008,2641,2266,16.5,2073,1526,5275.7,0.5,40,315419,1013,2175,50,60,240,120,1905,17942,890,0.822306238,0.018903592,0.02268431,0.09073724,0.04536862,0.177693762,0.336483932
9,2050009,1859,1738,7,1223,1079,2916.1,0.64,25,261402,851,1570,15,95,95,10,1395,26009,560,0.879551821,0.008403361,0.053221289,0.053221289,0.005602241,0.120448179,0.31372549
10,2050010,4699,4943,-4.9,2877,2531,5666.2,0.83,200,250712,650,2955,180,1255,155,65,2865,15101,830,0.640997831,0.039045553,0.272234273,0.03362256,0.014099783,0.359002169,0.180043384
11,2050011,5768,6012,-4.1,2922,2603,7136.8,0.81,205,303090,891,5090,120,120,200,75,4170,19103,1685,0.908117752,0.021409456,0.021409456,0.035682426,0.01338091,0.091882248,0.300624442
12,2050012,2594,2685,-3.4,1212,1052,4954.2,0.52,95,413990,892,2350,10,10,150,50,1810,23505,1105,0.914396887,0.003891051,0.003891051,0.058365759,0.019455253,0.085603113,0.429961089
13,2050013,2613,2685,-2.7,1162,1099,3309.3,0.79,125,402536,701,2475,0,10,55,75,1660,28561,920,0.946462715,0,0.003824092,0.021032505,0.028680688,0.053537285,0.351816444
14,2050014,4023,4008,0.4,1962,1881,2184.9,1.84,125,271381,895,3665,95,30,15,30,2065,30006,760,0.955671447,0.024771838,0.007822686,0.003911343,0.007822686,0.044328553,0.198174707
15,2050015,4746,4779,-0.7,2502,2302,2331.5,2.04,230,136526,637,4035,30,205,295,155,2750,22343,600,0.854872881,0.006355932,0.043432203,0.0625,0.032838983,0.145127119,0.127118644
16,2050016,3058,2182,40.1,1386,1321,1195.1,2.56,140,242734,722,2715,10,90,65,60,1940,28983,690,0.923469388,0.003401361,0.030612245,0.022108844,0.020408163,0.076530612,0.234693878
17,2050017,2266,2062,9.9,1041,975,780.5,2.9,115,344747,647,2125,40,70,10,25,1305,30850,650,0.936123348,0.017621145,0.030837004,0.004405286,0.011013216,0.063876652,0.286343612
18,2050018,3642,3710,-1.8,1985,1921,2634.7,1.38,105,262096,683,3380,70,40,45,30,2110,23128,815,0.933701657,0.019337017,0.011049724,0.012430939,0.008287293,0.051104972,0.225138122
19,2050019,4412,4435,-0.5,2269,2147,4911,0.9,170,242024,705,4265,15,65,100,35,3040,24967,1260,0.968217934,0.003405221,0.014755959,0.022701476,0.007945516,0.048808173,0.286038593
20,2050020,2672,2787,-4.1,1041,957,2685.7,0.99,50,282661,720,2070,25,90,25,15,1525,25173,405,0.930337079,0.011235955,0.040449438,0.011235955,0.006741573,0.069662921,0.182022472
21,2050021,3090,3197,-3.3,1567,1488,3503.8,0.88,175,223159,533,2465,55,420,60,70,1655,27684,695,0.802931596,0.017915309,0.136807818,0.019543974,0.022801303,0.197068404,0.226384365
22,2050022,5489,5390,1.8,3009,2831,1926.1,2.85,195,187471,685,4985,75,275,55,85,3490,27653,1200,0.910502283,0.01369863,0.050228311,0.010045662,0.015525114,0.089497717,0.219178082
23,2050023,4239,4256,-0.4,2089,1969,2757.6,1.54,215,211287,703,3490,100,335,170,135,2215,18195,520,0.825059102,0.023640662,0.079196217,0.040189125,0.031914894,0.174940898,0.122931442
24,2050024,5387,5822,-7.5,2767,2567,2461.4,2.19,185,178227,665,4815,75,180,130,160,3175,23444,605,0.898320896,0.013992537,0.03358209,0.024253731,0.029850746,0.101679104,0.112873134
25,2050025.01,4625,5005,-7.6,2173,2049,4383.9,1.06,215,179541,650,3835,60,185,185,255,2515,22627,720,0.848451327,0.013274336,0.040929204,0.040929204,0.056415929,0.151548673,0.159292035
26,2050025.02,4879,5516,-11.5,2548,2385,2523.5,1.93,170,257003,701,4165,135,55,350,175,3075,24877,1125,0.853483607,0.027663934,0.011270492,0.071721311,0.035860656,0.146516393,0.230532787
27,2050100,3087,3126,-1.2,1297,1232,523,5.9,135,120872,625,2530,95,130,10,10,1585,22222,190,0.911711712,0.034234234,0.046846847,0.003603604,0.003603604,0.088288288,0.068468468
28,2050101,3433,3649,-5.9,1845,1723,2096.4,1.64,150,150464,661,3105,135,85,40,45,2030,23378,475,0.910557185,0.039589443,0.024926686,0.011730205,0.013196481,0.089442815,0.139296188
29,2050102,4191,4037,3.8,2233,2071,3176.9,1.32,180,224727,656,3890,40,105,80,40,2610,27063,945,0.93622142,0.009626955,0.025270758,0.019253911,0.009626955,0.06377858,0.227436823
30,2050103,4401,4254,3.5,1971,1885,2338.8,1.88,185,193188,660,3845,95,180,190,80,2565,23600,655,0.875854214,0.021640091,0.041002278,0.043280182,0.018223235,0.124145786,0.149202733
31,2050104.01,2054,2179,-5.7,887,872,1645.4,1.25,70,175911,728,1900,50,35,20,0,1100,29528,275,0.947630923,0.024937656,0.017456359,0.009975062,0,0.052369077,0.137157107
32,2050104.02,6210,4751,30.7,2501,2401,1293.9,4.8,280,235911,937,5745,25,60,255,40,3500,32377,1200,0.937959184,0.004081633,0.009795918,0.041632653,0.006530612,0.062040816,0.195918367
33,2050108,4140,4019,3,1972,1903,1822.4,2.27,155,266563,861,3840,20,60,105,105,2320,31395,995,0.929782082,0.004842615,0.014527845,0.025423729,0.025423729,0.070217918,0.240920097
