tid,Population2011,Population2006,PopulationChange,TotalPrivateDwellings,OccupiedDwellings,Density,Land,bornSinceLastCensus,home,rent
2050001.0,3759,3648,3.0,1570,1496,658.9,5.71,270,241261,602
2050002.0,5363,5398,-0.6,2628,2351,465.5,11.52,255,294316,603
2050003.0,3036,2637,15.1,1298,1150,1284.3,2.36,90,720989,1132
2050004.01,3418,3259,4.9,2595,2159,7106.0,0.48,45,,
2050004.02,4649,4221,10.1,3272,2765,9585.6,0.49,120,402059,905
2050005.0,1797,1796,0.1,727,666,2342.6,0.77,85,723201,875
2050006.0,3122,3217,-3.0,1841,1361,2976.7,1.05,70,525779,921
2050007.0,1716,1780,-3.6,1241,1029,1459.2,1.18,25,366373,983
2050008.0,2763,2641,4.6,2096,1534,5472.4,0.5,55,,
2050009.0,1984,1859,6.7,1329,1159,3134.3,0.63,50,353150,954
2050010.0,5029,4699,7.0,3160,2768,6056.1,0.83,210,329728,759
2050011.0,5910,5768,2.5,2926,2656,7279.2,0.81,185,367530,960
2050012.0,2650,2594,2.2,1234,1099,5096.2,0.52,90,498673,1201
2050013.0,2617,2613,0.2,1151,1095,3278.6,0.8,120,482609,955
2050014.0,4104,4023,2.0,1944,1879,2234.1,1.84,150,281662,863
2050015.0,4691,4746,-1.2,2583,2351,2296.2,2.04,270,184205,692
2050016.0,3351,3058,9.6,1557,1454,1308.4,2.56,190,290299,784
2050017.0,2710,2266,19.6,1215,1155,933.0,2.9,175,402595,726
2050018.0,3622,3642,-0.5,1997,1901,2612.3,1.39,120,340284,749
2050019.0,4956,4412,12.3,2588,2431,5515.9,0.9,190,316043,847
2050020.0,2665,2672,-0.3,1168,1061,2671.7,1.0,65,304330,863
2050021.0,3325,3090,7.6,1709,1602,3795.7,0.88,225,279612,727
2050022.0,5423,5489,-1.2,3059,2886,1912.6,2.84,205,253840,780
2050023.0,4218,4239,-0.5,2102,1942,2745.6,1.54,260,240784,726
2050024.0,6309,5387,17.1,3224,3044,2879.5,2.19,285,232374,784
2050025.01,4711,4625,1.9,2198,2094,4458.6,1.06,260,230158,739
2050025.02,4904,4879,0.5,2604,2430,2559.1,1.92,215,283020,724
2050100.0,3112,3087,0.8,1360,1271,528.8,5.88,155,155535,706
2050101.0,3430,3433,-0.1,1862,1728,2089.6,1.64,170,206460,750
2050102.0,4298,4191,2.6,2342,2177,3259.5,1.32,220,270969,740
2050103.0,4342,4401,-1.3,2058,1992,2309.5,1.88,185,239150,683
2050104.01,2045,2054,-0.4,905,898,1638.2,1.25,65,192841,734
2050104.02,8270,6210,33.2,3363,3264,1715.4,4.82,395,302476,1309
2050108.0,4327,4140,4.5,2151,2074,1907.4,2.27,170,293761,1011
2050109.0,3211,3366,-4.6,1832,1694,2536.7,1.27,150,241927,672
2050110.0,1584,1684,-5.9,1016,899,1955.6,0.81,90,270242,645
2050111.0,3012,3214,-6.3,1853,1669,3126.8,0.96,125,194884,746
2050112.0,1953,1977,-1.2,1192,1028,1196.4,1.63,95,151431,609
