"","tid","Population2016","Population2011","PopulationChange","TotalPrivateDwellings","OccupiedDwellings","Density","Land","bornSinceLastCensus","home","rent"
"0","2050001.00","3868","3759","2.9","1658","1566","678.2","5.7","270","241737","647"
"1","2050002.00","6194","5363","15.5","2942","2729","537.7","11.52","355","332449","701"
"2","2050003.00","2955","3036","-2.7","1401","1191","1249.3","2.37","75","885647","1197"
"3","2050005.00","1808","1797","0.6","731","655","2352","0.77","60","438599","1002"
"4","2050023.00","4594","4218","8.9","2374","2119","2989.3","1.54","275","504598","1025"
"5","2050024.00","7375","6309","16.9","3804","3557","3382.1","2.18","400","980098","1156"
"6","2050100.00","3855","3112","23.9","1877","1724","657.7","5.86","150","708703","1054"
"7","2050101.00","3343","3430","-2.5","1849","1719","1999.6","1.67","195","508262","1244"
"8","2050102.00","4623","4298","7.6","2660","2413","3502","1.32","190","547939","1334"
"9","2050103.00","4228","4342","-2.6","1994","1936","2233.8","1.89","210","367576","1104"
"10","2050108.00","4769","4327","10.2","2416","2311","2101.6","2.27","185","377405","892"
"11","2050109.00","3200","3211","-0.3","1827","1691","2526","1.27","160","437439","1067"
"12","2050110.00","1481","1584","-6.5","1002","838","1838.8","0.81","70","597514","1184"
"13","2050006.00","3129","3122","0.2","1800","1289","2969","1.05","70","651573","950"
"14","2050007.00","1859","1716","8.3","1362","1119","1601.9","1.16","15","369242","1027"
"15","2050008.00","2778","2763","0.5","2069","1573","5515.2","0.5","55","210381","766"
"16","2050009.00","2357","1984","18.8","1535","1328","3711.8","0.64","70","335606","1103"
"17","2050010.00","5036","5029","0.1","3290","2802","6035.5","0.83","215","473829","984"
"18","2050011.00","5631","5910","-4.7","2912","2564","6970.8","0.81","160","389955","846"
"19","2050012.00","2482","2650","-6.3","1236","1021","4793.4","0.52","70","382477","1091"
"20","2050013.00","2561","2617","-2.1","1167","1087","3181.4","0.81","100","379221","997"
"21","2050014.00","4248","4104","3.5","2047","1947","2312.2","1.84","170","353258","924"
"22","2050015.00","4829","4691","2.9","2575","2425","2364.1","2.04","260","290856","933"
"23","2050016.00","3766","3351","12.4","1838","1707","1468.9","2.56","225","305997","923"
"24","2050017.00","2914","2710","7.5","1275","1201","1000.2","2.91","150","292627","949"
"25","2050018.00","3544","3622","-2.2","1986","1869","2537.6","1.4","125","237252","810"
"26","2050019.00","5062","4956","2.1","2658","2501","5681.9","0.89","195","338670","810"
"27","2050020.00","2562","2665","-3.9","1127","1009","2564.3","1","50","193559","1201"
"28","2050021.00","3314","3325","-0.3","1729","1612","3780.5","0.88","195","207141","832"
"29","2050022.00","5301","5423","-2.2","3053","2730","1871.2","2.83","210","327949","875"
"30","2050111.00","3132","3012","4","1932","1782","3226.5","0.97","120","265961","869"
"31","2050112.00","2014","1953","3.1","1270","1090","1223.7","1.65","105","210047","929"
"32","2050104.01","2015","2045","-1.5","907","877","1618.7","1.24","100","335596","1421"
"33","2050104.02","8522","8270","3","3447","3395","1758.9","4.85","325","359103","1174"
"34","2050025.01","4726","4711","0.3","2252","2069","4501.4","1.05","290","271887","828"
"35","2050025.02","4863","4904","-0.8","2604","2416","2542.5","1.91","225","309798","731"
"36","2050004.01","3466","3418","1.4","2659","2239","7202.8","0.48","40","200508","811"
"37","2050004.02","4771","4649","2.6","3310","2770","9896.3","0.48","130","178562","706"
