,tid,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65plus
0,2050025.02,215,475,570,380,315,285,355,345,340,335,810
0,2050025.01,250,385,420,355,290,295,340,330,275,255,790
0,2050024.00,310,625,685,495,365,415,500,520,400,365,910
0,2050017.00,140,150,130,185,205,220,220,200,190,180,365
0,2050016.00,155,185,235,260,225,240,275,295,270,220,545
0,2050022.00,185,460,575,460,350,330,405,410,420,405,900
0,2050023.00,255,445,480,325,275,260,315,270,225,185,525
0,2050018.00,175,335,310,205,180,225,255,295,265,255,740
0,2050015.00,225,370,450,360,340,285,390,420,340,310,550
0,2050001.00,265,225,265,250,295,245,295,315,240,190,395
0,2050014.00,180,185,165,205,225,210,330,335,300,305,1230
0,2050013.00,150,220,190,135,150,235,200,225,215,145,310
0,2050019.00,175,510,610,480,325,300,385,365,360,295,665
0,2050011.00,370,1290,925,530,320,305,325,335,285,230,495
0,2050002.00,320,325,270,315,315,390,490,530,495,385,795
0,2050012.00,215,545,265,155,140,110,150,190,155,160,225
0,2050006.00,270,710,265,130,110,150,165,185,225,190,410
0,2050005.00,125,210,80,40,95,110,125,125,125,150,280
0,2050021.00,155,255,315,310,245,200,245,245,260,170,385
0,2050020.00,55,210,370,235,150,155,140,130,145,145,800
0,2050003.00,230,660,345,165,145,140,170,185,185,185,315
0,2050010.00,280,725,760,500,350,275,300,315,320,275,435
0,2050007.00,45,290,225,105,45,35,35,65,75,75,680
0,2050004.02,150,1450,885,405,155,150,135,140,170,230,535
0,2050009.00,45,385,445,250,150,125,130,95,95,65,110
0,2050112.00,115,175,160,150,160,125,170,200,155,110,180
0,2050111.00,110,265,305,245,225,235,295,265,260,195,350
0,2050110.00,60,145,140,115,95,80,95,115,100,140,310
0,2050109.00,140,205,215,225,205,200,245,285,285,235,630
0,2050108.00,225,230,200,185,200,255,340,355,360,355,1105
0,2050102.00,200,370,375,335,300,295,360,355,355,290,525
0,2050101.00,200,360,270,240,180,205,270,310,270,235,450
0,2050103.00,255,300,270,250,275,295,340,395,345,315,740
0,2050100.00,165,230,205,200,210,210,280,315,245,180,435
0,2050104.01,100,80,90,100,90,130,235,170,170,150,505
0,2050104.02,465,360,285,400,500,540,675,605,565,540,2120
0,2050008.00,130,740,565,245,145,110,125,115,120,110,245
0,2050004.01,135,1105,840,335,165,120,130,125,110,95,190
