,tid,Population2006,Population2001,PopulationChange,TotalPrivateDwellings,OccupiedDwellings,Density,Land,bornSinceLastCensus
0,2050025.02,4879,5516,-11.5,2548,2385,2523.5,1.93,170
0,2050025.01,4625,5005,-7.6,2173,2049,4383.9,1.06,215
0,2050024.00,5387,5822,-7.5,2767,2567,2461.4,2.19,185
0,2050017.00,2266,2062,9.9,1041,975,780.5,2.9,115
0,2050016.00,3058,2182,40.1,1386,1321,1195.1,2.56,140
0,2050022.00,5489,5390,1.8,3009,2831,1926.1,2.85,195
0,2050023.00,4239,4256,-0.4,2089,1969,2757.6,1.54,215
0,2050018.00,3642,3710,-1.8,1985,1921,2634.7,1.38,105
0,2050015.00,4746,4779,-0.7,2502,2302,2331.5,2.04,230
0,2050001.00,3648,3636,0.3,1496,1437,639.0,5.71,215
0,2050014.00,4023,4008,0.4,1962,1881,2184.9,1.84,125
0,2050013.00,2613,2685,-2.7,1162,1099,3309.3,0.79,125
0,2050019.00,4412,4435,-0.5,2269,2147,4911.0,0.9,170
0,2050011.00,5768,6012,-4.1,2922,2603,7136.8,0.81,205
0,2050002.00,5398,5460,-1.1,2547,2273,468.6,11.52,240
0,2050012.00,2594,2685,-3.4,1212,1052,4954.2,0.52,95
0,2050006.00,3217,3153,2.0,1790,1464,3057.4,1.05,70
0,2050005.00,1796,1832,-2.0,725,668,2339.2,0.77,65
0,2050021.00,3090,3197,-3.3,1567,1488,3503.8,0.88,175
0,2050020.00,2672,2787,-4.1,1041,957,2685.7,0.99,50
0,2050003.00,2637,2844,-7.3,1371,1145,1116.0,2.36,75
0,2050010.00,4699,4943,-4.9,2877,2531,5666.2,0.83,200
0,2050007.00,1780,1644,8.3,1259,1072,1519.0,1.17,10
0,2050004.02,4221,4379,-3.6,3038,2511,8766.4,0.48,110
0,2050009.00,1859,1738,7.0,1223,1079,2916.1,0.64,25
0,2050008.00,2641,2266,16.5,2073,1526,5275.7,0.5,40
0,2050004.01,3259,3253,0.2,2437,2031,6774.1,0.48,50
0,2050112.00,1977,2407,-17.9,1523,1010,1212.4,1.63,115
0,2050111.00,3214,3352,-4.1,1836,1687,3327.8,0.97,130
0,2050110.00,1684,1779,-5.3,987,939,2084.2,0.81,80
0,2050109.00,3366,3373,-0.2,1784,1694,2672.3,1.26,140
0,2050108.00,4140,4019,3.0,1972,1903,1822.4,2.27,155
0,2050102.00,4191,4037,3.8,2233,2071,3176.9,1.32,180
0,2050101.00,3433,3649,-5.9,1845,1723,2096.4,1.64,150
0,2050103.00,4401,4254,3.5,1971,1885,2338.8,1.88,185
0,2050100.00,3087,3126,-1.2,1297,1232,523.0,5.9,135
0,2050104.01,2054,2179,-5.7,887,872,1645.4,1.25,70
0,2050104.02,6210,4751,30.7,2501,2401,1293.9,4.8,280
