,tid,occupiedDwellings2006,singleDetached2006,semiDetached2006,rowHouses2006,apartmentInDuplex2006,apartmentLessThanFiveStories2006,apartmentMoreThanFiveStories2006,otherDwellings2006,averageNumRooms2006,averageValue2006,medianHouseholdIncome2006,medianRent2006,occupiedDwellings2011,singleDetached2011,semiDetached2011,rowHouses2011,apartmentInDuplex2011,apartmentLessThanFiveStories2011,apartmentMoreThanFiveStories2011,otherDwellings2011,averageNumRooms2011,averageValue2011,medianHouseholdIncome2011,medianRent,occupiedDwellings2016,singleDetached2016,semiDetached2016,rowHouses2016,apartmentInDuplex2016,apartmentLessThanFiveStories2016,apartmentMoreThanFiveStories2016,otherDwellings2016,averageNumRooms2016,averageValue2016,medianHouseholdIncome2016,medianRent2016
0,2050001.00,1440,52.1,10.4,16.3,10.1,10.8,0.0,0.7,6.8,148100,41323,475,1495,820,155,220,120,170,0,5.0,6.8,241261,50193,602,1565,865,150,230,125,185,0,10.0,6.5,241737,56917,647
0,2050002.00,2275,50.1,11.4,0.9,3.3,30.5,0.0,3.7,6.4,226552,40319,534,2350,1175,295,15,110,690,0,75.0,6.2,294316,49604,603,2730,1265,410,35,115,835,0,75.0,6.2,332449,55488,701
0,2050003.00,1145,48.0,0.9,2.6,5.7,21.4,21.4,0.0,6.9,479064,72176,907,1150,530,25,35,40,250,265,5.0,6.5,720989,67383,1132,1190,505,20,30,50,220,360,0.0,6.2,885647,75904,1197
0,2050004.01,2030,0.5,0.0,1.2,1.7,48.0,48.3,0.0,3.5,235254,29012,780,2160,15,5,20,15,1000,1110,0.0,,,,,2240,15,0,25,20,950,1225,0.0,3.3,438599,35917,1002
0,2050004.02,2510,3.2,0.6,0.0,2.0,39.0,54.6,0.4,4.0,378830,26722,761,2765,80,25,5,65,1000,1580,10.0,3.9,402059,32870,905,2770,70,25,5,65,995,1600,10.0,3.8,504598,32567,1025
0,2050005.00,665,77.4,0.0,0.0,8.3,15.0,0.0,0.0,8.5,558133,117738,907,665,525,5,0,45,90,0,0.0,8.2,723201,126261,875,655,525,0,0,45,80,5,0.0,8.5,980098,154112,1156
0,2050006.00,1465,31.4,0.7,0.0,17.1,36.9,14.3,0.0,6.3,447079,57792,812,1360,460,15,0,210,490,185,5.0,6.0,525779,49517,921,1290,440,15,0,195,450,190,0.0,6.1,708703,71808,1054
0,2050007.00,1070,0.9,0.0,0.0,0.9,15.0,84.1,0.0,4.1,364430,39431,901,1030,5,0,0,0,140,885,5.0,3.7,366373,54902,983,1120,0,0,5,5,160,945,0.0,3.6,508262,51789,1244
0,2050008.00,1525,0.7,0.0,1.6,0.7,26.9,69.8,0.7,4.2,315419,39604,"1,013",1535,20,15,10,15,400,1080,0.0,,,,,1575,15,15,10,20,450,1060,0.0,3.9,547939,48149,1334
0,2050009.00,1080,3.2,3.2,7.4,3.7,23.6,58.3,0.0,4.3,261402,37641,851,1155,30,35,160,30,290,610,0.0,4.0,353150,47053,954,1325,30,40,170,35,325,735,0.0,3.8,367576,52078,1104
0,2050010.00,2530,4.9,5.9,15.0,2.4,29.2,39.9,2.4,4.4,250712,24800,650,2770,115,145,455,95,740,1180,35.0,4.5,329728,30793,759,2800,105,135,430,100,845,1160,30.0,4.2,377405,37742,892
0,2050011.00,2605,27.1,2.1,2.5,20.5,35.9,10.6,1.0,5.5,303090,41943,891,2655,740,60,55,555,895,330,20.0,5.4,367530,51334,960,2565,740,65,45,555,860,300,10.0,5.2,437439,57152,1067
0,2050012.00,1055,42.7,0.9,0.9,23.7,30.8,0.0,0.9,6.5,413990,70539,892,1095,435,10,15,240,375,0,20.0,7.0,498673,72003,1201,1020,415,5,15,225,340,0,20.0,6.5,597514,76416,1184
0,2050013.00,1100,59.5,0.0,0.0,9.1,24.1,5.9,0.0,6.8,402536,63586,701,1095,685,5,0,100,255,50,5.0,6.8,482609,80018,955,1090,670,5,0,95,260,55,5.0,6.9,651573,91392,950
0,2050014.00,1880,39.4,3.5,5.6,5.3,41.0,4.3,0.0,6.3,271381,58404,895,1875,765,95,125,105,695,90,0.0,6.0,281662,55132,863,1950,830,105,120,90,690,110,0.0,6.2,369242,68937,1027
0,2050015.00,2300,15.4,6.1,18.9,9.6,32.6,17.0,0.0,5.3,136526,34298,637,2350,380,190,430,175,725,445,5.0,5.2,184205,40858,692,2425,405,205,425,185,745,460,0.0,5.1,210381,44267,766
0,2050016.00,1320,41.3,14.4,1.9,6.8,24.6,11.0,0.0,6.7,242734,62928,722,1455,615,215,40,90,300,195,0.0,6.6,290299,65536,784,1705,600,300,45,80,290,395,0.0,6.1,335606,72858,1103
0,2050017.00,975,64.6,1.0,1.0,6.2,25.1,2.6,0.0,7.2,344747,61874,647,1155,730,30,0,55,300,35,0.0,7.2,402595,74856,726,1200,730,25,0,45,300,100,0.0,6.9,473829,90016,984
0,2050018.00,1920,39.8,1.6,0.0,6.0,22.4,29.9,0.0,5.5,262096,38319,683,1900,795,30,0,85,415,570,0.0,5.5,340284,46551,749,1870,790,40,0,80,395,570,5.0,5.4,389955,52693,846
0,2050019.00,2145,43.6,4.2,0.0,14.5,30.8,6.3,0.5,5.6,242024,46669,705,2430,955,60,15,310,720,350,15.0,5.6,316043,61085,847,2500,950,70,10,315,685,465,15.0,5.4,382477,64055,1091
0,2050020.00,960,21.4,4.7,3.1,19.8,48.4,1.6,2.1,5.0,282661,37908,720,1065,215,35,45,175,495,75,20.0,4.7,304330,52594,863,1010,205,35,45,180,460,75,15.0,4.7,379221,51520,997
0,2050021.00,1490,29.9,1.0,18.1,14.4,29.2,6.4,0.0,5.5,223159,39848,533,1600,435,30,250,210,455,205,15.0,5.2,279612,42759,727,1615,425,25,255,210,485,200,15.0,5.3,353258,57024,924
0,2050022.00,2830,27.7,2.8,10.6,8.3,26.5,24.0,0.0,5.7,187471,47163,685,2885,820,75,340,260,710,670,5.0,5.6,253840,56099,780,2730,805,75,335,260,690,565,5.0,5.4,290856,61952,933
0,2050023.00,1965,29.3,1.8,16.5,6.9,26.5,19.3,0.5,5.6,211287,35702,703,1945,525,15,335,160,535,370,5.0,5.4,240784,36344,726,2120,520,10,330,165,515,580,0.0,5.2,305997,44752,923
0,2050024.00,2565,34.7,6.4,0.4,16.2,27.5,14.8,0.0,5.7,178227,41043,665,3045,1005,210,25,390,735,675,0.0,5.6,232374,48312,784,3555,1020,225,65,405,740,1100,5.0,5.3,292627,55205,949
0,2050025.01,2045,22.0,8.3,6.4,4.2,30.1,23.2,6.1,5.8,179541,40235,650,2095,455,175,135,75,650,480,120.0,5.7,230158,41444,739,2070,430,175,150,65,660,460,125.0,5.4,237252,47072,810
