,tid,occupiedDwellings,singleDetached,semiDetached,rowHouses,apartmentInDuplex,apartmentLessThanFiveStories,apartmentMoreThanFiveStories,otherDwellings,averageNumRooms,averageValue,medianHouseholdIncome,medianRent
0,2050025.02,2430,700,95,145,45,870,575,0.0,5.8,283020,45134,724
1,2050025.01,2095,455,175,135,75,650,480,120.0,5.7,230158,41444,739
2,2050024.00,3045,1005,210,25,390,735,675,0.0,5.6,232374,48312,784
3,2050017.00,1155,730,30,0,55,300,35,0.0,7.2,402595,74856,726
4,2050016.00,1455,615,215,40,90,300,195,0.0,6.6,290299,65536,784
5,2050022.00,2885,820,75,340,260,710,670,5.0,5.6,253840,56099,780
6,2050023.00,1945,525,15,335,160,535,370,5.0,5.4,240784,36344,726
7,2050018.00,1900,795,30,0,85,415,570,0.0,5.5,340284,46551,749
8,2050015.00,2350,380,190,430,175,725,445,5.0,5.2,184205,40858,692
9,2050001.00,1495,820,155,220,120,170,0,5.0,6.8,241261,50193,602
10,2050014.00,1875,765,95,125,105,695,90,0.0,6.0,281662,55132,863
11,2050013.00,1095,685,5,0,100,255,50,5.0,6.8,482609,80018,955
12,2050019.00,2430,955,60,15,310,720,350,15.0,5.6,316043,61085,847
13,2050011.00,2655,740,60,55,555,895,330,20.0,5.4,367530,51334,960
14,2050002.00,2350,1175,295,15,110,690,0,75.0,6.2,294316,49604,603
15,2050012.00,1095,435,10,15,240,375,0,20.0,7.0,498673,72003,1201
16,2050006.00,1360,460,15,0,210,490,185,5.0,6.0,525779,49517,921
17,2050005.00,665,525,5,0,45,90,0,0.0,8.2,723201,126261,875
18,2050021.00,1600,435,30,250,210,455,205,15.0,5.2,279612,42759,727
19,2050020.00,1065,215,35,45,175,495,75,20.0,4.7,304330,52594,863
20,2050003.00,1150,530,25,35,40,250,265,5.0,6.5,720989,67383,1132
21,2050010.00,2770,115,145,455,95,740,1180,35.0,4.5,329728,30793,759
22,2050007.00,1030,5,0,0,0,140,885,5.0,3.7,366373,54902,983
23,2050004.02,2765,80,25,5,65,1000,1580,10.0,3.9,402059,32870,905
24,2050009.00,1155,30,35,160,30,290,610,0.0,4.0,353150,47053,954
25,2050112.00,1025,245,50,90,40,565,0,35.0,4.9,151431,38810,609
26,2050111.00,1670,565,30,10,145,925,0,5.0,5.3,194884,45218,746
27,2050110.00,900,120,15,65,75,300,325,0.0,4.4,270242,28382,645
28,2050109.00,1695,750,40,5,130,460,295,20.0,5.4,241927,44958,672
29,2050108.00,2075,945,25,60,25,445,575,0.0,6.5,293761,61082,1011
30,2050102.00,2180,600,70,70,205,1010,215,10.0,5.4,270969,44621,740
31,2050101.00,1730,470,110,25,125,700,150,150.0,5.3,206460,41594,750
32,2050103.00,1990,880,315,85,90,625,0,0.0,6.5,239150,60602,683
33,2050100.00,1270,525,230,55,90,295,0,75.0,6.1,155535,49728,706
34,2050104.01,900,700,65,0,10,60,5,65.0,7.2,192841,64651,734
35,2050104.02,3265,1885,100,375,45,525,325,0.0,7.5,302476,84428,1309
36,2050008.0,1535,20,15,10,15,400,1080,0.0,,,,
37,2050004.01,2160,15,5,20,15,1000,1110,0.0,,,,
